Cust_ID	name	code	pop	Block	Ship_mode	Discount	Weight_gm	Cust_calls	Prior_purchases	Priority	Gender	Cust_rating	Cost	Timeliness
52	Czech Republic	CZE	3937410	D	Ship	8	5478	4	2	medium	M	5	144	0
53	Democratic Republic of the Congo	COD	91393	D	Flight	7	5943	3	4	medium	F	2	152	1
54	Denmark	DNK	3021545	F	Ship	46	3076	4	2	medium	M	5	268	1
55	Djibouti	DJI	15690	F	Ship	9	1257	3	3	medium	M	3	163	1
56	Dominica	DMA	14852	F	Flight	5	4624	4	3	low	M	4	153	0
57	Dominican Republic	DOM	612548	A	Flight	9	5026	5	3	low	M	3	167	0
58	Ecuador	ECU	915679	F	Flight	21	3559	3	6	low	M	5	240	1
59	Egypt	EGY	515645	F	Ship	9	5418	4	7	medium	M	4	186	0
60	El Salvador	SLV	169646	B	Ship	2	1227	2	2	medium	F	2	168	1
61	Equatorial Guinea	GNQ	16191	D	Ship	2	4640	3	4	medium	F	5	157	0
62	Eritrea	ERI	9810	A	Road	4	4423	6	6	medium	M	2	269	0
63	Estonia	EST	581457	D	Ship	8	5083	3	2	medium	F	5	167	0
64	Ethiopia	ETH	489656	F	Ship	4	5501	3	3	medium	F	4	186	1
65	Falkland Islands (Malvinas)	FLK	1815	B	Ship	4	6000	5	2	medium	M	2	169	1
66	Fiji	FJI	65889	F	Flight	32	1718	3	2	medium	F	3	160	1
67	Finland	FIN	1145610	F	Ship	8	1754	6	4	low	F	3	276	1
68	France	FRA	31658727	F	Ship	7	1841	5	6	medium	F	1	221	1
69	French Guiana	GUF	88362	B	Ship	10	5381	4	3	low	F	1	237	0
70	French Polynesia	PYF	73386	B	Road	5	4285	5	3	medium	M	5	237	1
71	French Southern and Antarctic Lands	ATF	0	A	Ship	8	1289	6	4	medium	F	2	309	1
72	Gabon	GAB	47939	D	Ship	4	4804	3	2	low	M	1	226	0
73	Gambia	GMB	12002	A	Ship	29	2164	3	3	low	F	2	181	1
74	Georgia	GEO	1662299	F	Ship	7	4147	3	3	medium	F	5	136	0
75	Germany	DEU	28673212	A	Flight	10	4541	4	3	medium	M	3	181	1
76	Ghana	GHA	166546	F	Ship	9	1096	7	4	medium	F	2	247	1
77	Gibraltar	GIB	19633	A	Ship	46	3108	3	2	medium	M	4	234	1
78	Greece	GRC	3755074	D	Ship	4	5970	6	3	medium	F	2	173	0
79	Greenland	GRL	11971	A	Road	2	1540	7	4	medium	F	1	264	0
80	Grenada	GRD	18475	D	Ship	9	5735	3	2	low	M	4	203	0
81	Guadeloupe	GLP	171431	A	Ship	58	2135	4	3	medium	M	3	206	1
82	Guatemala	GTM	922340	B	Ship	31	3943	3	3	medium	M	2	243	1
83	Guinea	GIN	36597	A	Flight	8	1881	5	5	medium	M	5	248	1
84	Guinea-Bissau	GNB	8369	A	Flight	10	5932	3	2	low	F	1	166	1
85	Guyana	GUY	67699	A	Flight	3	4310	4	3	medium	M	1	204	0
86	Haiti	HTI	31677	D	Ship	10	4380	3	2	low	F	5	224	1
87	Holy See (Vatican City)	VAT	29	F	Ship	4	1543	7	4	low	F	1	289	1
88	Honduras	HND	427718	F	Ship	40	1117	3	2	medium	F	3	138	1
89	Hong Kong	HKG	1256279	D	Ship	2	1312	5	5	low	M	3	252	1
90	Hungary	HUN	1932788	F	Ship	6	3757	2	4	low	M	1	229	1
91	Iceland	ISL	195259	F	Ship	8	5198	4	3	medium	M	2	195	0
92	India	IND	43547809	F	Ship	5	5964	3	3	low	M	4	168	0
93	Indonesia	IDN	6097928	D	Ship	9	1198	3	6	low	F	1	273	1
94	Iran (Islamic Republic of)	IRN	7241648	B	Ship	42	3145	5	3	medium	M	4	228	1
95	Iraq	IRQ	2364453	A	Ship	8	2000	4	5	medium	F	2	273	0
96	Ireland	IRL	1600614	D	Flight	48	2399	4	5	low	M	1	207	1
97	Isle of Man	IMN	36463	F	Ship	2	1565	6	4	low	F	2	292	0
98	Israel	ISR	4404223	F	Ship	8	4770	5	7	medium	M	1	194	0
99	Italy	ITA	18938771	C	Road	4	4591	6	6	low	F	2	263	1
100	Jamaica	JAM	143408	C	Ship	2	5923	3	2	low	M	3	141	0
101	Japan	JPN	9452518	D	Ship	7	1032	5	5	low	F	2	259	0
102	Jordan	JOR	1700526	A	Road	9	1548	2	5	low	F	1	258	1
103	Kazakhstan	KAZ	1307877	A	Road	10	1148	6	4	medium	M	2	294	0
104	Kenya	KEN	334800	C	Ship	51	1430	3	2	medium	M	4	174	1
105	Kiribati	KIR	3236	F	Ship	8	4972	3	2	medium	F	4	162	0
106	Korea	PRK	4759770	F	Ship	1	4518	4	3	low	F	3	212	0
107	Korea	KOR	18433359	F	Flight	4	2769	3	4	medium	M	5	245	1
108	Kuwait	KWT	646098	B	Road	9	1180	6	4	medium	M	4	285	0
109	Kyrgyzstan	KGZ	201053	F	Ship	21	2070	2	2	low	F	5	252	1
110	Lao People's Democratic Republic	LAO	210331	A	Ship	8	1785	3	4	medium	F	5	278	0
111	Latvia	LVA	837872	B	Ship	9	4466	3	2	medium	M	2	221	0
112	Lebanon	LBN	1117540	C	Flight	10	4532	4	3	high	F	4	248	0
113	Lesotho	LSO	33938	F	Ship	2	4545	5	3	low	F	5	232	1
114	Liberia	LBR	7500	F	Flight	8	4959	3	3	medium	F	4	243	0
115	Libyan Arab Jamahiriya	LBY	502189	F	Flight	6	4802	4	5	medium	F	3	148	0
116	Liechtenstein	LIE	18032	F	Ship	7	1897	4	3	medium	F	2	169	0
117	Lithuania	LTU	1069694	B	Ship	49	3573	3	2	medium	F	1	198	1
118	Luxembourg	LUX	263167	B	Road	9	5853	3	2	medium	F	1	166	1
119	Macau	MAC	461	F	Ship	5	4574	4	4	low	M	4	170	0
120	Madagascar	MDG	65787	C	Ship	6	1129	4	5	low	F	1	261	0
121	Malawi	MWI	86626	B	Ship	2	1790	6	4	medium	F	1	300	1
122	Malaysia	MYS	4578741	B	Ship	9	4754	5	4	low	F	3	137	0
123	Maldives	MDV	182720	F	Ship	3	1398	5	5	medium	F	3	233	0
124	Mali	MLI	31176	C	Ship	8	1426	4	5	low	M	1	263	1
125	Malta	MLT	106068	D	Flight	7	4013	3	3	low	M	5	132	1
126	Marshall Islands	MHL	32	A	Ship	4	1318	5	5	medium	M	2	264	0
127	Martinique	MTQ	201211	F	Flight	52	3009	4	6	medium	F	4	282	1
128	Mauritania	MRT	60489	B	Ship	24	3621	5	10	low	F	4	186	1
129	Mauritius	MUS	38650	D	Ship	7	4799	5	3	high	F	5	140	1
130	Mayotte	MYT	37958	C	Flight	1	1793	7	4	low	M	3	307	1
131	Mexico	MEX	6121808	F	Ship	57	1533	4	2	low	F	5	170	1
132	Micronesia	 Federated States of	38	C	Ship	33	2129	4	3	medium	M	5	198	1
133	Monaco	MCO	13197	F	Ship	4	5964	5	6	medium	F	1	193	0
134	Mongolia	MNG	928981	A	Flight	5	1590	4	5	high	F	3	266	0
135	Montenegro	MNE	241623	F	Ship	3	5835	5	3	high	F	5	264	1
136	Montserrat	MSR	1020	F	Ship	49	2341	3	2	medium	M	5	231	1
137	Morocco	MAR	1230095	C	Ship	56	1408	3	4	low	F	4	160	1
138	Mozambique	MOZ	228317	F	Ship	62	2292	4	5	low	F	1	263	1
139	Namibia	NAM	169000	A	Ship	21	3746	3	3	medium	M	5	206	1
140	Nauru	NRU	5009	B	Road	2	1260	4	5	low	M	5	219	0
141	Nepal	NPL	979908	A	Road	60	1024	4	4	high	M	1	150	1
142	Netherlands	NLD	8210651	B	Flight	1	1778	5	5	low	F	4	257	1
143	New Caledonia	NCL	65271	B	Ship	4	4295	4	8	medium	M	1	201	0
144	New Zealand	NZL	1374535	B	Ship	8	5673	4	3	low	F	3	146	1
145	Nicaragua	NIC	18491	F	Ship	1	1817	7	4	medium	M	4	291	1
146	Niger	NER	9031	B	Flight	1	1835	5	5	low	F	3	232	1
147	Nigeria	NGA	257637	C	Ship	4	1155	5	5	low	F	4	242	0
148	Niue	NIU	23	F	Ship	6	5713	3	6	low	M	5	174	0
149	Norway	NOR	1449207	A	Ship	7	4049	3	3	medium	F	2	149	1
150	Oman	OMN	390244	F	Road	46	3594	3	2	medium	M	3	266	1
151	Pakistan	PAK	1540080	D	Ship	47	1727	5	5	low	F	1	162	1
152	Palau	PLW	5269	B	Flight	63	3516	4	2	high	M	5	273	1
153	Palestine	PSE	662000	A	Ship	57	2078	4	2	low	M	3	214	1
154	Panama	PAN	925254	B	Ship	5	4750	2	5	medium	M	3	243	1
155	Papua New Guinea	PNG	44732	F	Ship	10	4145	3	8	low	M	3	261	0
156	Paraguay	PRY	660841	F	Ship	37	2215	3	3	low	M	4	209	1
157	Peru	PER	3644199	F	Ship	1	4296	2	2	low	F	1	111	1
158	Philippines	PHL	3710145	F	Ship	10	4979	3	3	medium	M	2	168	1
159	Poland	POL	6018565	B	Ship	10	4641	4	2	medium	M	2	205	1
160	Portugal	PRT	5214701	D	Road	12	1212	3	3	medium	F	2	125	1
161	Puerto Rico	PRI		F	Road	7	5682	3	2	low	M	1	135	0
162	Qatar	QAT	385830	C	Ship	37	2200	4	4	medium	M	2	187	1
163	Republic of Moldova	MDA		B	Ship	3	5520	4	3	high	M	1	178	1
164	Reunion	REU	422769	F	Ship	9	2236	5	8	medium	F	5	263	1
165	Romania	ROU	2927187	F	Ship	7	4042	4	2	low	M	4	272	1
166	Russia	RUS	18445301	A	Flight	23	3962	5	2	medium	M	2	260	1
167	Rwanda	RWA	131347	F	Road	6	4897	3	2	low	M	1	257	1
168	Saint Barthelemy	BLM	4630	C	Ship	13	1240	2	2	medium	M	4	120	1
169	Saint Kitts and Nevis	KNA	6193	D	Ship	9	1400	5	5	low	M	5	262	0
170	Saint Lucia	LCA	27133	F	Ship	7	5368	3	2	low	F	1	251	1
171	Saint Martin	MAF	10668	F	Ship	6	3620	3	3	low	F	2	257	1
172	Saint Pierre and Miquelon	SPM	2779	F	Road	6	4963	4	3	medium	M	2	173	0
173	Samoa	WSM	14995	D	Ship	9	5041	4	3	low	M	4	246	0
174	San Marino	SMR	18361	A	Ship	1	4697	2	3	low	M	2	199	1
175	Sao Tome and Principe	STP	6064	F	Flight	7	5256	3	2	low	M	4	214	1
176	Saudi Arabia	SAU	797940	F	Ship	4	5817	2	4	low	M	2	146	0
177	Senegal	SEN	86399	F	Flight	10	1935	7	4	low	M	3	285	1
178	Serbia	SRB	2034544	F	Ship	4	1783	7	5	low	F	3	133	1
179	Seychelles	SYC	44847	D	Ship	6	4622	2	5	low	F	2	237	1
180	Sierra Leone	SLE	7704	C	Ship	24	3829	2	3	high	F	3	274	1
181	Singapore	SGP	1485964	F	Ship	3	1262	7	4	low	M	4	286	1
182	Slovakia	SVK	1798381	C	Ship	4	4022	2	6	medium	M	3	239	0
183	Slovenia	SVN	1043241	F	Ship	14	1554	5	3	high	M	5	171	1
184	Solomon Islands	SLB	21237	B	Road	4	1151	7	4	low	F	1	309	0
185	Somalia	SOM	26803	C	Ship	10	4235	3	4	medium	M	4	162	0
186	South Africa	ZAF	3995784	C	Ship	7	1869	6	4	low	M	4	255	1
187	Spain	ESP	12890002	D	Ship	10	4165	2	6	low	M	1	277	0
188	Sri Lanka	LKA	664194	D	Ship	58	3411	5	3	low	M	3	242	1
189	Sudan	SDN	62704	B	Ship	8	2334	3	3	medium	F	3	234	1
190	Suriname	SUR	80890	B	Ship	6	3496	3	3	medium	M	1	254	1
191	Swaziland	SWZ	73155	F	Ship	65	2598	4	3	low	F	5	206	1
192	Sweden	SWE	2519199	D	Ship	7	4733	3	4	low	M	3	211	0
193	Switzerland	CHE	3787749	C	Ship	4	1618	4	5	medium	F	5	228	0
194	Syrian Arab Republic	SYR	55937	F	Road	2	5032	5	3	high	F	1	252	0
195	Taiwan	TWN	3964188	F	Flight	9	5230	4	2	medium	M	1	267	1
196	Tajikistan	TJK	17786	B	Flight	1	1252	3	3	low	M	1	167	1
197	Thailand	THA	4536445	B	Ship	15	3250	3	3	low	M	2	198	1
198	Macedonia	MKD	315000	B	Road	30	2751	3	6	low	M	5	264	1
199	Timor-Leste	TLS	22961	F	Ship	4	1399	3	3	low	F	3	239	0
200	Togo	TGO	37493	B	Ship	3	4105	4	2	low	M	4	151	1
201	Tonga	TON	12301	D	Flight	5	4613	4	3	medium	F	4	132	0
202	Trinidad and Tobago	TTO	167585	D	Ship	1	1539	4	5	medium	M	4	252	1
203	Tunisia	TUN	1052180	F	Ship	4	4268	3	3	medium	M	5	265	1
204	Turkey	TUR	15180444	F	Ship	7	4411	3	3	low	F	4	226	1
205	Turkmenistan	TKM	0	A	Ship	9	4085	4	3	low	M	2	271	0
206	Turks and Caicos Islands	TCA	6234	F	Ship	2	1593	5	5	high	F	5	237	1
207	Tuvalu	TUV	3	F	Road	42	1465	3	3	low	F	2	140	1
208	Uganda	UGA	167979	C	Ship	3	4669	5	2	medium	M	5	154	0
209	Ukraine	UKR	5018019	B	Road	2	5856	4	4	low	F	4	192	1
210	United Arab Emirates	ARE	954692	D	Ship	10	1986	5	6	low	F	5	240	0
211	United Kingdom	GBR	22741065	F	Road	4	4756	3	3	high	M	4	159	1
212	United Republic of Tanzania	TZA	35768	B	Flight	5	1169	4	2	low	F	2	167	1
213	United States	USA	89731799	A	Road	9	5093	3	3	high	F	1	204	0
214	Uruguay	URY	962251	C	Flight	2	5751	4	5	low	M	3	176	1
215	Uzbekistan	UZB	241283	A	Ship	46	1736	4	4	low	F	2	270	1
216	Vanuatu	VUT	11447	B	Ship	1	5533	6	6	low	M	4	235	1
217	Venezuela	VEN	527074	A	Ship	63	1953	3	6	medium	M	2	143	1
218	Viet Nam	VNM	10750313	F	Flight	7	1818	5	5	low	F	1	228	0
219	Wallis and Futuna Islands	WLF	456	B	Flight	7	3622	4	3	medium	M	5	268	1
220	Western Sahara	ESH	10	F	Ship	6	5657	4	3	medium	F	3	249	1
221	Yemen	YEM	11832	F	Ship	1	4583	5	4	high	F	3	206	0
222	Zambia	ZMB	326259	B	Flight	10	1278	6	3	medium	M	1	134	1
223	Zimbabwe	ZWE	255755	C	Ship	40	3106	4	4	medium	M	3	211	1
224	Afghanistan	AFG	3529228.67	F	Road	1	4030	5	3	medium	F	4	274	0
225	Albania	ALB	3538247.69	A	Ship	6	4705	4	2	medium	F	2	154	1
226	Algeria	DZA	3547266.709	A	Road	9	5721	3	4	medium	F	1	201	1
227	Andorra	AND	3556285.729	F	Flight	4	5611	5	3	low	F	4	254	1
228	Angola	AGO	3565304.748	A	Road	4	4631	3	3	medium	M	1	154	0
229	Anguilla	AIA	3574323.768	B	Road	4	4864	3	2	low	F	5	195	0
230	Antarctica	ATA	3583342.788	D	Flight	58	2544	3	5	medium	F	1	184	1
231	Antigua and Barbuda	ATG	3592361.807	B	Ship	1	4328	5	4	low	M	2	225	1
232	Argentina	ARG	3601380.827	B	Ship	8	4323	2	2	low	M	1	198	0
233	Armenia	ARM	3610399.846	C	Ship	6	1118	7	4	low	F	2	281	1
234	Aruba	ABW	3619418.866	F	Ship	4	5748	4	3	medium	F	3	235	1
235	Australia	AUS	3628437.886	F	Flight	51	1841	3	2	medium	F	1	153	1
236	Austria	AUT	3637456.905	F	Ship	9	4712	3	4	high	M	3	204	0
237	Azerbaijan	AZE	3646475.925	B	Flight	5	5049	4	5	low	F	1	173	1
238	Bahamas	BHS	3655494.944	F	Ship	10	5296	4	4	high	F	4	133	0
239	Bahrain	BHR	3664513.964	B	Flight	5	5607	5	3	low	M	2	232	1
240	Bangladesh	BGD	3673532.984	C	Ship	1	5054	3	2	low	F	1	186	1
241	Barbados	BRB	3682552.003	F	Ship	8	5516	4	2	low	F	2	266	0
242	Belarus	BLR	3691571.023	C	Ship	4	4783	4	2	low	F	5	228	1
243	Belgium	BEL	3700590.042	D	Ship	10	4927	4	2	medium	F	4	175	0
244	Belize	BLZ	3709609.062	F	Ship	7	1666	5	4	medium	F	2	285	1
245	Benin	BEN	3718628.082	B	Ship	4	1594	6	4	low	F	2	286	0
246	Bermuda	BMU	3727647.101	F	Ship	9	3075	4	2	low	M	4	199	1
247	Bhutan	BTN	3736666.121	B	Ship	6	5266	4	2	low	M	1	208	0
248	Bolivia	BOL	3745685.14	F	Flight	6	4056	3	2	low	M	1	192	0
249	Bosnia and Herzegovina	BIH	3754704.16	C	Road	10	1630	5	5	medium	M	3	236	0
250	Botswana	BWA	3763723.18	F	Ship	7	4070	4	5	medium	M	4	177	1
251	Brazil	BRA	3772742.199	F	Ship	27	3039	5	3	medium	F	5	182	1
252	British Virgin Islands	VGB	3781761.219	F	Road	4	4793	4	3	low	M	3	173	1
253	Brunei Darussalam	BRN	3790780.238	C	Flight	7	5768	5	3	low	F	2	198	1
254	Bulgaria	BGR	3799799.258	A	Ship	46	1550	7	3	low	M	5	192	1
255	Burkina Faso	BFA	3808818.278	B	Ship	36	3499	4	3	medium	F	1	224	1
256	Myanmar	MMR	3817837.297	D	Ship	2	4158	4	2	medium	M	3	269	0
257	Burundi	BDI	3826856.317	C	Ship	2	1072	3	2	low	F	4	175	1
258	Cambodia	KHM	3835875.336	B	Ship	4	5716	3	3	low	F	4	169	0
259	Cameroon	CMR	3844894.356	D	Ship	61	2806	6	6	high	F	4	241	1
260	Canada	CAN	3853913.376	C	Ship	8	5845	5	3	low	M	1	250	0
261	Cayman Islands	CYM	3862932.395	B	Ship	8	1930	6	4	medium	F	2	309	0
262	Central African Republic	CAF	3871951.415	A	Road	3	1689	4	4	low	M	1	192	0
263	Chad	TCD	3880970.434	D	Road	5	4950	3	3	low	F	4	150	0
264	Chile	CHL	3889989.454	D	Ship	5	4031	4	3	medium	F	3	149	0
265	China	CHN	3899008.474	A	Ship	2	4190	5	2	high	F	4	203	1
266	Colombia	COL	3908027.493	C	Ship	37	2563	4	2	medium	M	2	190	1
267	Comoros	COM	3917046.513	A	Ship	10	1784	5	5	low	M	3	239	0
268	Congo	COG	3926065.532	F	Ship	2	5654	4	5	medium	F	5	159	1
269	Cook Islands	COK	3935084.552	F	Ship	7	5292	5	2	medium	M	4	275	0
270	Costa Rica	CRI	3944103.572	B	Ship	8	4921	4	2	low	F	2	183	0
271	Cote d'Ivoire	CIV	3953122.591	F	Ship	5	4125	5	2	low	F	1	244	1
272	Croatia	HRV	3962141.611	B	Road	8	4535	5	3	low	M	4	260	0
273	Cuba	CUB	3971160.63	D	Ship	5	5735	3	2	medium	M	4	154	1
274	Cyprus	CYP	3980179.65	D	Ship	2	1163	6	4	low	F	5	256	0
275	Czech Republic	CZE	3989198.67	D	Flight	7	1303	5	5	medium	F	3	270	1
276	Democratic Republic of the Congo	COD	3998217.689	F	Ship	9	4458	5	2	low	M	3	251	0
277	Denmark	DNK	4007236.709	F	Road	8	1864	6	5	medium	F	3	281	1
278	Djibouti	DJI	4016255.728	F	Flight	4	1768	6	4	low	M	2	243	0
279	Dominica	DMA	4025274.748	A	Ship	2	5276	5	2	medium	F	4	269	0
280	Dominican Republic	DOM	4034293.768	A	Ship	6	5508	4	3	medium	M	4	149	0
281	Ecuador	ECU	4043312.787	F	Ship	4	5860	3	3	medium	F	1	237	0
282	Egypt	EGY	4052331.807	D	Ship	6	1460	4	5	low	M	5	235	0
283	El Salvador	SLV	4061350.826	D	Road	7	4318	3	3	low	M	1	174	1
284	Equatorial Guinea	GNQ	4070369.846	D	Ship	5	1952	4	5	low	F	4	260	1
285	Eritrea	ERI	4079388.866	F	Ship	30	1569	3	3	medium	F	5	146	1
286	Estonia	EST	4088407.885	C	Ship	15	3798	5	2	low	M	1	227	1
287	Ethiopia	ETH	4097426.905	F	Road	6	5701	3	2	low	M	1	209	1
288	Falkland Islands (Malvinas)	FLK	4106445.924	A	Flight	8	4909	3	10	medium	M	5	245	1
289	Fiji	FJI	4115464.944	F	Ship	6	5729	4	2	medium	M	2	201	0
290	Finland	FIN	4124483.964	B	Ship	13	2219	6	10	medium	F	3	221	1
291	France	FRA	4133502.983	A	Ship	2	1057	5	5	medium	F	3	232	1
292	French Guiana	GUF	4142522.003	D	Ship	38	3031	4	3	low	M	5	188	1
293	French Polynesia	PYF	4151541.022	A	Road	36	1278	5	2	medium	F	5	170	1
294	French Southern and Antarctic Lands	ATF	4160560.042	D	Ship	9	1460	6	4	low	F	5	252	0
295	Gabon	GAB	4169579.062	F	Ship	6	1438	4	5	low	F	2	275	0
296	Gambia	GMB	4178598.081	D	Flight	4	4746	3	2	low	M	3	185	0
297	Georgia	GEO	4187617.101	D	Road	5	4424	5	2	low	M	4	223	1
298	Germany	DEU	4196636.12	C	Ship	7	5546	4	2	low	M	2	233	1
299	Ghana	GHA	4205655.14	B	Road	8	5786	5	3	medium	F	3	267	1
300	Gibraltar	GIB	4214674.16	D	Ship	7	1046	6	4	low	F	2	291	0
301	Greece	GRC	4223693.179	F	Ship	54	1536	5	3	low	M	5	163	1
302	Greenland	GRL	4232712.199	A	Road	5	1097	5	6	medium	F	2	269	0
303	Grenada	GRD	4241731.218	F	Ship	10	5844	3	2	low	F	4	204	1
304	Guadeloupe	GLP	4250750.238	C	Ship	3	5391	5	2	medium	F	1	241	1
305	Guatemala	GTM	4259769.258	F	Flight	4	4541	5	4	medium	M	4	135	0
306	Guinea	GIN	4268788.277	C	Flight	3	1782	4	5	low	M	4	264	0
307	Guinea-Bissau	GNB	4277807.297	D	Ship	31	1262	6	4	medium	M	5	176	1
308	Guyana	GUY	4286826.316	C	Ship	10	4790	5	5	medium	F	2	121	0
309	Haiti	HTI	4295845.336	D	Ship	55	2387	4	2	low	M	3	246	1
310	Holy See (Vatican City)	VAT	4304864.356	A	Road	1	5922	3	3	high	M	4	186	1
311	Honduras	HND	4313883.375	F	Flight	4	1739	7	4	medium	M	3	306	1
312	Hong Kong	HKG	4322902.395	C	Ship	7	5522	3	2	low	M	2	186	0
313	Hungary	HUN	4331921.414	A	Ship	13	2442	6	6	low	F	1	238	1
314	Iceland	ISL	4340940.434	D	Road	4	4914	3	4	medium	F	1	267	1
315	India	IND	4349959.453	F	Flight	8	5016	5	3	high	M	3	134	0
316	Indonesia	IDN	4358978.473	F	Flight	57	3807	2	2	medium	F	5	216	1
317	Iran (Islamic Republic of)	IRN	4367997.493	C	Road	4	5383	3	3	medium	F	1	194	1
318	Iraq	IRQ	4377016.512	D	Ship	3	4103	4	3	high	F	2	244	0
319	Ireland	IRL	4386035.532	C	Ship	1	5011	5	4	low	M	1	251	1
320	Isle of Man	IMN	4395054.551	D	Ship	64	1910	4	2	medium	F	3	143	1
321	Israel	ISR	4404073.571	B	Ship	4	1733	5	5	medium	F	3	237	1
322	Italy	ITA	4413092.591	D	Ship	39	1477	2	3	medium	F	3	159	1
323	Jamaica	JAM	4422111.61	D	Ship	3	5718	5	4	low	M	3	217	1
324	Japan	JPN	4431130.63	D	Road	49	3225	3	3	low	F	4	204	1
325	Jordan	JOR	4440149.649	F	Ship	43	3439	3	3	medium	F	2	264	1
326	Kazakhstan	KAZ	4449168.669	A	Flight	5	5612	5	2	medium	M	3	143	1
327	Kenya	KEN	4458187.689	D	Road	7	4462	5	3	low	M	3	132	1
328	Kiribati	KIR	4467206.708	C	Ship	58	2758	5	2	medium	M	2	243	1
329	Korea	PRK	4476225.728	F	Ship	3	5901	4	5	medium	M	4	201	1
330	Korea	KOR	4485244.747	B	Ship	62	2849	3	2	low	F	4	185	1
331	Kuwait	KWT	4494263.767	F	Flight	3	4167	2	10	high	M	4	274	1
332	Kyrgyzstan	KGZ	4503282.787	D	Ship	38	7640	2	3	medium	F	3	142	1
